timestamp,SERVO_OUTPUT_RAW.time_usec,SERVO_OUTPUT_RAW.port,SERVO_OUTPUT_RAW.servo1_raw,SERVO_OUTPUT_RAW.servo2_raw,SERVO_OUTPUT_RAW.servo3_raw,SERVO_OUTPUT_RAW.servo4_raw,SERVO_OUTPUT_RAW.servo5_raw,SERVO_OUTPUT_RAW.servo6_raw,SERVO_OUTPUT_RAW.servo7_raw,SERVO_OUTPUT_RAW.servo8_raw,SERVO_OUTPUT_RAW.servo9_raw,SERVO_OUTPUT_RAW.servo10_raw,SERVO_OUTPUT_RAW.servo11_raw,SERVO_OUTPUT_RAW.servo12_raw,SERVO_OUTPUT_RAW.servo13_raw,SERVO_OUTPUT_RAW.servo14_raw,SERVO_OUTPUT_RAW.servo15_raw,SERVO_OUTPUT_RAW.servo16_raw
1631219281.14800000,33369859,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219281.91199994,34871912,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219283.45799994,36385537,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219285.02600002,37892654,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219286.45799994,39394152,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219288.02799988,40914654,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219289.51899981,42442922,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219291.01199985,43934294,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219292.50999999,45462649,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219294.05799985,46973150,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219295.50600004,48481461,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219297.05900002,50000938,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219298.60899997,51512907,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219300.05399990,53005201,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219301.60899997,54527065,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219303.09099984,56037437,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219304.60800004,57545709,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219306.13999987,59059824,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219307.60599995,60588211,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219309.13999987,62097040,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219310.70700002,63595431,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219312.22499990,65101184,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219313.70599985,66621105,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219315.20599985,68126656,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219316.70499992,69650082,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219318.20599985,71151805,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219319.70599985,72667440,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219321.23899984,74182437,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219322.80999994,75697211,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219324.30299997,77201832,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219325.77099991,78722622,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219327.27900004,80217413,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219328.80399990,81744401,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219330.28900003,83253634,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219331.78699994,84771747,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219333.28499985,86268703,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219334.82399988,87772559,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219336.36099982,89304400,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219337.89100003,90809367,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219339.38899994,92315982,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219340.88699985,93837705,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219342.45700002,95440029,0,1075,1076,1075,1076,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219344.07599998,97018042,0,1154,1187,1134,1139,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219345.68899989,98609991,0,1324,1348,1363,1369,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219347.26999998,100208168,0,1506,1477,1419,1486,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219348.83899999,101806782,0,1485,1502,1558,1507,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219350.44599986,103398196,0,1506,1471,1512,1528,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219352.04099989,104993796,0,1499,1464,1510,1532,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219353.63899994,106585724,0,1380,1398,1519,1563,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219355.22399998,108189545,0,1418,1508,1528,1516,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219356.85800004,109780591,0,1470,1476,1457,1565,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219358.49300003,111378530,0,1456,1501,1475,1553,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219360.03900003,112964046,0,1448,1509,1493,1534,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219361.59599996,114584031,0,1434,1500,1466,1547,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219363.21299982,116179420,0,1463,1509,1485,1543,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219364.80499983,117762028,0,1438,1525,1503,1546,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219366.39299989,119364649,0,1465,1489,1477,1542,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219367.99799991,120939450,0,1454,1484,1485,1550,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219369.58399987,122546212,0,1460,1489,1480,1553,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219371.16199994,124146800,0,1481,1489,1481,1559,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219372.80399990,125728566,0,1471,1496,1491,1552,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219374.39599991,127328520,0,1466,1495,1495,1561,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219375.98499990,128917901,0,1537,1510,1437,1543,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219377.56599998,130516208,0,1456,1517,1519,1548,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219379.11999989,132128395,0,1489,1485,1490,1572,1512,1512,900,900,0,0,0,0,0,0,0,0
